GeneralFileName,VideoOctetsReceived,VideoPacketsreceived,VideoPacketsLost,VideoPacketLossRate,AudioOctetsReceived,AudioPacketsReceived,AudioPacketsLost,AudioPacketLossRate
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q27_nr999_plr0.5_amrwb_m08,1750454,2821,17,0.6,131936,2128,16,0.75
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q27_nr999_plr0_amrwb_m08,1756011,2838,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q27_nr999_plr1_amrwb_m08,1734206,2803,35,1.23,131750,2125,19,0.89
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q27_nr999_plr5_amrwb_m08,1662214,2703,135,4.76,125240,2020,124,5.78
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q31_nr0_plr0.1_amrwb_m08,1084594,2307,1,0.04,132742,2141,3,0.14
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q31_nr0_plr0.5_amrwb_m08,1082579,2295,13,0.56,132308,2134,10,0.47
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q31_nr0_plr0_amrwb_m08,1084596,2308,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q31_nr0_plr1_amrwb_m08,1068707,2281,27,1.17,131440,2120,24,1.12
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q31_nr0_plr5_amrwb_m08,1028399,2193,115,4.98,126356,2038,106,4.94
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q31_nr999_plr0.1_amrwb_m08,1028011,2292,1,0.04,132742,2141,3,0.14
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q31_nr999_plr0.5_amrwb_m08,1021499,2280,13,0.57,132432,2136,8,0.37
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q31_nr999_plr0_amrwb_m08,1028013,2293,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q31_nr999_plr1_amrwb_m08,1017485,2266,27,1.18,131688,2124,20,0.93
ntia_HeadShoulders-Female15_h264_720p_baseline_fps25_q31_nr999_plr5_amrwb_m08,984235,2182,111,4.84,126666,2043,101,4.71
